Category,Subcategory,Services and Functions,Source,Grant/ loan,Budget (In '000)
SOCIAL PROTECTION,Family and children,Ministry of Health and Population,Foreign,Grant,0
SOCIAL PROTECTION,Family and children,Ministry of Health and Population,Foreign,Loan,0
SOCIAL PROTECTION,Family and children,Prime Minister and Council of Minister's Office,Government,,53358
SOCIAL PROTECTION,Family and children,Prime Minister and Council of Minister's Office,Foreign,Grant,0
SOCIAL PROTECTION,Family and children,Prime Minister and Council of Minister's Office,Foreign,Loan,0
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Federal Affairs and Local Development,Government,,12905366
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Federal Affairs and Local Development,Foreign,Grant,97049
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Federal Affairs and Local Development,Foreign,Loan,0
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Labour and Employment,Government,,125940
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Labour and Employment,Foreign,Grant,0
SOCIAL PROTECTION,Social exclusion n.e.c.,Ministry of Labour and Employment,Foreign,Loan,0
SOCIAL PROTECTION,R&D Social protection,Ministry of Home,Government,,16161
SOCIAL PROTECTION,R&D Social protection,Ministry of Home,Foreign,Grant,114151
SOCIAL PROTECTION,R&D Social protection,Ministry of Home,Foreign,Loan,0
SOCIAL PROTECTION,Social protection n.e.c.,"Ministry of Women, Children & Social Welfare",Government,,1593768
SOCIAL PROTECTION,Social protection n.e.c.,"Ministry of Women, Children & Social Welfare",Foreign,Grant,201143
SOCIAL PROTECTION,Social protection n.e.c.,"Ministry of Women, Children & Social Welfare",Foreign,Loan,0
SOCIAL PROTECTION,Social protection n.e.c.,Ministry of Peace & Reconstruction,Government,,0
SOCIAL PROTECTION,Social protection n.e.c.,Ministry of Peace & Reconstruction,Foreign,Grant,0
SOCIAL PROTECTION,Social protection n.e.c.,,Foreign,Loan,
