Purpose of visit,Year,Month,Nepalese going aboard by purpose of visit and month
Pilgrimage,2013,Nov.,440
Pilgrimage,2013,Dec,430
Official,2013,Jan.,822
Official,2013,Feb.,716
Official,2013,Mar.,554
Official,2013,Apr.,750
Official,2013,May,831
Official,2013,Jun.,910
Official,2013,Jul.,695
Official,2013,Aug.,700
Official,2013,Sep.,1014
Official,2013,Oct.,1005
Official,2013,Nov.,646
Official,2013,Dec,631
Conference,2013,Jan.,1298
Conference,2013,Feb.,1170
Conference,2013,Mar.,1031
Conference,2013,Apr.,1089
Conference,2013,May,1427
Conference,2013,Jun.,1440
Conference,2013,Jul.,1274
Conference,2013,Aug.,1314
Conference,2013,Sep.,2200
Conference,2013,Oct.,1725
Conference,2013,Nov.,2113
Conference,2013,Dec,1016
Study/Training,2013,Jan.,4299
Study/Training,2013,Feb.,3244
Study/Training,2013,Mar.,2224
Study/Training,2013,Apr.,3019
Study/Training,2013,May,3016
Study/Training,2013,Jun.,2618
Study/Training,2013,Jul.,4161
Study/Training,2013,Aug.,5071
Study/Training,2013,Sep.,5800
Study/Training,2013,Oct.,5440
Study/Training,2013,Nov.,3780
Study/Training,2013,Dec,2520
Foreign Employment,2013,Jan.,60473
Foreign Employment,2013,Feb.,44545
Foreign Employment,2013,Mar.,60730
Foreign Employment,2013,Apr.,52961
Foreign Employment,2013,May,55831
Foreign Employment,2013,Jun.,56000
Foreign Employment,2013,Jul.,62371
Foreign Employment,2013,Aug.,43323
Foreign Employment,2013,Sep.,44683
Foreign Employment,2013,Oct.,48594
Foreign Employment,2013,Nov.,49712
Foreign Employment,2013,Dec,57242
Sports,2013,Jan.,175
Sports,2013,Feb.,110
Sports,2013,Mar.,68
Sports,2013,Apr.,59
Sports,2013,May,95
Sports,2013,Jun.,56
Sports,2013,Jul.,88
Sports,2013,Aug.,170
Sports,2013,Sep.,212
Sports,2013,Oct.,185
Sports,2013,Nov.,117
Sports,2013,Dec,102
Others,2013,Jan.,9969
Others,2013,Feb.,9100
Others,2013,Mar.,10496
Others,2013,Apr.,8049
Others,2013,May,9822
Others,2013,Jun.,8743
Others,2013,Jul.,9274
Others,2013,Aug.,9448
Others,2013,Sep.,11901
Others,2013,Oct.,10291
Others,2013,Nov.,8452
Others,2013,Dec,7736
Not Specified,2013,Jan.,7880
Not Specified,2013,Feb.,6339
Not Specified,2013,Mar.,7089
Not Specified,2013,Apr.,3790
Not Specified,2013,May,6346
Not Specified,2013,Jun.,6992
Not Specified,2013,Jul.,5122
Not Specified,2013,Aug.,8899
Not Specified,2013,Sep.,7589
Not Specified,2013,Oct.,7456
Not Specified,2013,Nov.,11832
Not Specified,2013,Dec,7982
