Remittance  Sending Country ,Nepal Receiving Remittance   (millions of US$)
Australia,49
Belgium,2
Bhutan,2
Brunei Darussalam,61
Cambodia,1
Canada,28
Denmark,1
Finland,1
France,5
Georgia,1
Germany,23
India,1634
Ireland,1
Italy,4
Japan,65
Jordan,5
"Korea, Rep.",20
Netherlands,8
New Zealand,4
Northern Mariana Islands,1
Norway,4
Philippines,2
Qatar,1987
Saudi Arabia,105
Spain,5
Sweden,2
Switzerland,4
Thailand,132
United Kingdom,223
United States,325
Other North,248
