title,source,csv file,git hub csv file,pdf link,pdf name,year
Number of Industries Approved for Foreign Investment by Country of  Origin (Up to F.Y. 2061-62 FNM),Ministry of Industries,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/number_of_industries_approved_for_foreign_investment_by_country.csv&nid=168,https://github.com/opennepal/odp-Economy/tree/master/Number of Industries Approved for Foreign Investment by Country of  Origin (Up to F.Y. 2061-62 FNM),http://www.doind.gov.np/documents/pdf/ind_stat_206162.pdf,ind_stat_206162.pdf,
Number of Industries Approved for Foreign Investment by Fiscal Year (Up to F.Y. 2061-62 FNM),Ministry of Industries,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/number_of_industries_approved_for_foreign_investment_by_fiscal_year.csv&nid=166,https://github.com/opennepal/odp-Economy/tree/master/Number of Industries Approved for Foreign Investment by Fiscal Year (Up to F.Y. 2061-62 FNM),http://www.doind.gov.np/documents/pdf/ind_stat_206162.pdf,ind_stat_206162.pdf,
Number of Industries Approved for Foreign Investment by District  (Up to F.Y. 2061-62 FNM),Ministry of Industries,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/number_of_industries_approved_for_foreign_investment_by_district.csv&nid=165,https://github.com/opennepal/odp-Economy/tree/master/Number of Industries Approved for Foreign Investment by District  (Up to F.Y. 2061-62 FNM),http://www.doind.gov.np/documents/pdf/ind_stat_206162.pdf,ind_stat_206162.pdf,
Gross Domestic Product deflator by industrial division,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/gross_domestic_product_deflator_by_industrial_division_0.csv&nid=140,https://github.com/opennepal/odp-Economy/tree/master/Gross Domestic Product deflator by industrial division,,,
Composition of gross domestic product by ISIC division at current prices,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/composition_of_gross_domestic_product_by_ISIC_division.csv&nid=139,https://github.com/opennepal/odp-Economy/tree/master/Composition of gross domestic product by ISIC division at current prices,,,
Gross Value Added by Industrial Division at constant 2000-01 prices,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/gross_value_added_by_industrial_division_at_constant_2000-01_prices.csv&nid=138,https://github.com/opennepal/odp-Economy/tree/master/Gross Value Added by Industrial Division at constant 2000-01 prices,,,
Gross Value Added by Industrial Division at current prices,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/gross_domestic_product_deflator_by_industrial_division.csv&nid=137,https://github.com/opennepal/odp-Economy/tree/master/Gross Value Added by Industrial Division at current prices,,,
Intermediate consumption by intermediate division at current prices,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/intermediate_consumption_by_industrial_division_at_current_prices.csv&nid=136,https://github.com/opennepal/odp-Economy/tree/master/Intermediate consumption by intermediate division at current prices,,,
Gross Output by Industrial Division at current prices,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/gross_output_by_industrial_division_at_current_prices.csv&nid=135,https://github.com/opennepal/odp-Economy/tree/master/Gross Output by Industrial Division at current prices,,,
Annual Growth Rate of GDP by Economic Activities at constant price,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/annual_growth_rate_of_GDP_by_economic_activities_at_constant_prices.csv&nid=134,https://github.com/opennepal/odp-Economy/tree/master/Annual Growth Rate of GDP by Economic Activities at constant price,,,
Foreign grant and loan summary,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/foreign_grant_load_summary.csv&nid=128,https://github.com/opennepal/odp-Economy/tree/master/Foreign grant and loan summary,,,
Remittance Inflows for the year 2011-12,The World Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/RemittanceData_Inflows_April2013.csv&nid=127,https://github.com/opennepal/odp-Economy/tree/master/Remittance Inflows for the year 2011-12,,,
Remittance Outflows for the year 2011-12,The World Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/RemittanceData_Outflows_April2013.csv&nid=126,https://github.com/opennepal/odp-Economy/tree/master/Remittance Outflows for the year 2011-12,,,
